                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.2948,                 1.1834,                 1.6025,                0.75288,                0.80544,                0.83049,                0.59504,                 1.7416,                 2.6571,                  2.475,              0.0011389,              0.0011389,              0.0011389
                     66,                 1.2868,                 1.1724,                 1.5819,                0.86204,                0.77287,                0.85457,                0.60549,                  1.924,                 2.7169,                 3.1167,              0.0011306,              0.0011306,              0.0011306
                     67,                 1.2433,                 1.1289,                 1.5518,                0.89819,                0.78954,                0.87361,                0.63398,                 1.7301,                 2.7421,                 2.5715,              0.0011224,              0.0011224,              0.0011224
                     68,                 1.2311,                 1.1435,                 1.5462,                0.89193,                0.80667,                0.87292,                0.64726,                 1.7394,                 2.6874,                 2.5802,              0.0011141,              0.0011141,              0.0011141
                     69,                 1.2651,                 1.1521,                 1.5835,                0.89043,                0.82419,                0.88631,                0.64659,                 1.8303,                 2.5241,                 2.9779,              0.0011059,              0.0011059,              0.0011059
                     70,                 1.2082,                  1.083,                 1.5086,                0.92943,                0.77821,                0.87761,                  0.632,                  1.787,                   4.11,                 2.9355,              0.0010976,              0.0010976,              0.0010976
                     71,                 1.2155,                 1.0812,                 1.5196,                0.89761,                0.82916,                0.89114,                0.64942,                 1.7997,                 2.8173,                 2.8417,              0.0010894,              0.0010894,              0.0010894
                     72,                 1.2205,                 1.1084,                 1.5339,                0.90771,                  0.795,                0.87465,                0.65509,                 1.7824,                 4.1622,                 2.7921,              0.0010811,              0.0010811,              0.0010811
                     73,                  1.236,                 1.1015,                 1.5484,                0.88443,                0.81296,                 0.8835,                0.66074,                 1.9474,                 4.1288,                 3.0999,              0.0010729,              0.0010729,              0.0010729
                     74,                 1.1886,                 1.0544,                  1.515,                0.88888,                0.80945,                0.88123,                0.61206,                 1.8354,                 3.0265,                 2.8444,              0.0010646,              0.0010646,              0.0010646
                     75,                 1.2093,                 1.0745,                 1.5205,                0.92938,                0.77638,                0.88074,                0.64463,                 2.0821,                 3.4054,                 3.8491,              0.0010564,              0.0010564,              0.0010564
