                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.9067,                 1.4966,                 1.2769,                0.57299,                0.60439,                0.58963,                0.32384,                  1.996,                 1.3776,                 1.4286,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.8815,                 1.4728,                  1.283,                0.74338,                 0.5379,                0.63772,                0.34208,                 1.8394,                 1.2566,                  1.308,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.8569,                 1.4493,                 1.2845,                0.59687,                0.59891,                0.61586,                0.33039,                 2.0855,                 1.3382,                 1.4739,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.8499,                 1.4425,                 1.2725,                0.59897,                0.63535,                0.62492,                0.32686,                 1.9392,                 1.2606,                 1.4801,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.8446,                 1.4128,                 1.2574,                0.66992,                 0.6075,                0.63468,                0.37002,                 1.8504,                  1.294,                 1.2941,             0.00063676,             0.00063676,             0.00063676
                     58,                  1.829,                 1.3925,                 1.2642,                 0.5309,                0.64414,                 0.6189,                0.34968,                  1.912,                 1.3268,                 1.3005,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.8222,                  1.401,                 1.2631,                 0.6105,                0.63026,                0.63791,                0.36655,                 1.8411,                 1.2432,                 1.3316,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.7894,                 1.3504,                 1.2388,                0.63746,                 0.6101,                0.63052,                0.36696,                 1.8169,                 1.2429,                 1.2346,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.8128,                 1.3563,                 1.2442,                 0.6358,                0.60286,                0.63442,                0.34828,                 1.9198,                 1.2402,                 1.4339,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.7793,                 1.3207,                 1.2317,                0.62724,                0.63786,                0.67307,                0.39783,                 1.8804,                  1.282,                 1.2497,             0.00056603,             0.00056603,             0.00056603
                     63,                  1.777,                 1.3076,                 1.2084,                0.68266,                0.65526,                0.68541,                0.37269,                 1.9594,                 1.2508,                 1.3765,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.7793,                 1.3035,                 1.2203,                0.68849,                0.62763,                0.68528,                0.38185,                 1.9974,                 1.2558,                 1.4827,             0.00053773,             0.00053773,             0.00053773
                     65,                  1.737,                 1.2583,                 1.2236,                0.66794,                0.65056,                 0.6941,                0.41972,                 1.8979,                 1.2959,                 1.3318,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.7532,                 1.2715,                 1.2165,                  0.762,                0.65878,                0.73776,                0.40549,                 1.9202,                 1.2025,                 1.4443,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.7479,                  1.258,                 1.2153,                0.75635,                 0.6312,                0.72226,                0.45606,                 1.9275,                 1.2268,                 1.4355,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.7209,                  1.236,                 1.2056,                0.80975,                 0.5989,                0.73105,                0.43379,                 1.8531,                 1.2175,                 1.2851,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.6976,                  1.211,                 1.1886,                0.80697,                0.62392,                0.74748,                0.46587,                 1.9186,                 1.1816,                 1.4773,               0.000467,               0.000467,               0.000467
                     70,                 1.6772,                 1.1898,                 1.1823,                0.83387,                0.67948,                0.75878,                0.47685,                 1.9048,                 1.2035,                  1.445,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.6721,                 1.1952,                 1.1912,                 0.7646,                0.69861,                0.75625,                0.47398,                   1.81,                 1.2043,                 1.2873,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.6463,                 1.1512,                 1.1741,                0.83805,                0.68113,                0.77835,                0.47138,                 1.9595,                 1.2104,                 1.3725,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.6507,                 1.1799,                 1.1654,                0.87381,                0.68351,                0.78974,                0.46142,                 1.8731,                 1.1523,                 1.4095,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.6462,                 1.1576,                 1.1753,                0.77562,                0.64953,                0.75929,                0.43068,                 1.8921,                 1.1689,                 1.3914,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.6363,                 1.1249,                 1.1784,                0.91231,                0.68301,                0.80108,                0.50287,                 1.7255,                 1.0917,                 1.2244,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.6051,                 1.0919,                 1.1562,                0.88827,                0.66375,                0.79457,                0.48578,                 1.8049,                 1.1284,                 1.2571,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.6053,                 1.0943,                 1.1453,                0.85099,                0.69942,                0.79495,                0.49923,                 1.8219,                 1.1594,                 1.2454,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.5791,                 1.0775,                 1.1376,                0.78419,                0.69421,                0.77805,                0.49212,                 1.7545,                 1.1546,                 1.2309,             0.00033967,             0.00033967,             0.00033967
                     79,                 1.5972,                 1.0842,                 1.1413,                0.85981,                0.70725,                0.80525,                0.49852,                 1.7313,                 1.1036,                 1.2151,             0.00032553,             0.00032553,             0.00032553
                     80,                 1.5752,                 1.0677,                 1.1373,                0.84829,                0.70736,                0.80296,                0.51615,                 1.7303,                 1.1332,                  1.246,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.5857,                 1.0664,                 1.1445,                0.80683,                0.72825,                0.79792,                 0.5032,                 1.7319,                 1.1118,                 1.2526,             0.00029723,             0.00029723,             0.00029723
                     82,                 1.5534,                 1.0553,                 1.1382,                0.82135,                0.70804,                0.80661,                0.51686,                 1.7235,                 1.1227,                 1.2412,             0.00028308,             0.00028308,             0.00028308
                     83,                 1.5515,                 1.0231,                 1.1356,                 0.8887,                 0.6899,                0.81223,                0.49789,                 1.7552,                 1.1246,                 1.3061,             0.00026894,             0.00026894,             0.00026894
                     84,                 1.5366,                 1.0251,                 1.1201,                0.92216,                 0.7009,                0.81645,                0.50492,                    1.7,                 1.0916,                 1.2296,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.5302,                   1.01,                 1.1315,                0.93036,                0.71333,                0.82743,                0.51844,                 1.6739,                 1.0876,                  1.213,             0.00024064,             0.00024064,             0.00024064
                     86,                 1.5295,                 1.0142,                 1.1275,                0.93411,                0.72163,                0.83111,                0.52155,                 1.7228,                 1.0919,                 1.2311,              0.0002265,              0.0002265,              0.0002265
                     87,                 1.5256,                0.99947,                 1.1211,                0.90711,                0.69788,                 0.8275,                0.52395,                 1.6881,                  1.096,                 1.2433,             0.00021235,             0.00021235,             0.00021235
                     88,                  1.512,                 1.0056,                  1.116,                0.89623,                0.72674,                0.82882,                0.52594,                 1.6781,                 1.1009,                 1.2016,              0.0001982,              0.0001982,              0.0001982
                     89,                 1.4904,                0.96763,                 1.1116,                0.91387,                0.72657,                0.83942,                0.53919,                 1.7584,                 1.0605,                 1.3537,             0.00018406,             0.00018406,             0.00018406
                     90,                 1.4827,                0.96324,                 1.1022,                0.93263,                0.73208,                 0.8401,                0.54005,                  1.667,                 1.0732,                 1.2256,             0.00016991,             0.00016991,             0.00016991
                     91,                 1.5306,                0.95058,                 1.0631,                0.94185,                0.71988,                0.82904,                0.53756,                 1.6543,                 1.0892,                 1.2241,             0.00015576,             0.00015576,             0.00015576
                     92,                 1.4286,                 0.8648,                 1.0255,                0.91993,                0.73551,                0.82905,                0.55429,                 1.5969,                  1.037,                 1.2293,             0.00014161,             0.00014161,             0.00014161
                     93,                  1.408,                0.85465,                 1.0267,                0.94434,                 0.7207,                0.83597,                  0.562,                 1.5715,                 1.0253,                 1.2123,             0.00012747,             0.00012747,             0.00012747
                     94,                 1.3882,                0.84744,                 1.0205,                0.91164,                0.75541,                0.83829,                0.56058,                 1.5937,                 1.0255,                 1.2469,             0.00011332,             0.00011332,             0.00011332
                     95,                 1.3978,                 0.8395,                 1.0252,                 0.9349,                0.75513,                 0.8413,                0.57003,                 1.6122,                 1.0302,                 1.3156,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                  1.387,                0.83471,                 1.0098,                0.94128,                 0.7379,                0.84501,                 0.5658,                 1.5446,                 1.0275,                 1.2298,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 1.3624,                0.81891,                 1.0103,                0.93876,                0.74323,                0.84341,                0.57073,                 1.5542,                 1.0267,                 1.2349,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 1.3414,                0.80332,                  1.011,                0.95013,                0.73681,                 0.8464,                0.57563,                 1.5624,                 1.0287,                 1.2521,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 1.3322,                0.79467,                0.99945,                0.94002,                0.74792,                0.84488,                 0.5722,                 1.5518,                 1.0286,                 1.2351,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                 1.3383,                0.79648,                 1.0027,                0.94536,                 0.7559,                0.84933,                0.56892,                 1.5624,                 1.0232,                 1.2438,             2.8437e-05,             2.8437e-05,             2.8437e-05
