                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.75576,                 0.4407,                0.89298,                0.98128,                 0.9465,                0.96367,                0.82436,                 0.7244,                0.36193,                0.81099,              0.0093169,              0.0093169,              0.0093169
                     71,                0.75457,                0.43515,                 0.8935,                0.98508,                0.94237,                0.96342,                0.82696,                0.72287,                0.35849,                0.80992,               0.009307,               0.009307,               0.009307
                     72,                0.74928,                0.43854,                0.88884,                 0.9849,                0.94387,                0.96302,                0.82811,                0.71713,                0.35602,                0.80898,              0.0092971,              0.0092971,              0.0092971
                     73,                0.74929,                0.43341,                0.88761,                0.98532,                0.94431,                0.96362,                0.82942,                0.71681,                0.35501,                0.80852,              0.0092872,              0.0092872,              0.0092872
                     74,                0.74621,                0.43637,                0.88802,                0.98736,                 0.9401,                 0.9641,                0.82957,                0.72125,                0.35432,                0.80816,              0.0092773,              0.0092773,              0.0092773
                     75,                 0.7502,                0.43547,                0.89058,                0.98169,                0.94736,                0.96431,                0.82955,                 0.7149,                0.35203,                0.80716,              0.0092674,              0.0092674,              0.0092674
                     76,                0.74364,                0.43033,                0.88624,                0.98534,                0.94447,                0.96426,                0.83114,                0.71437,                0.35041,                0.80689,              0.0092575,              0.0092575,              0.0092575
                     77,                0.73983,                0.43121,                0.88459,                0.98357,                0.94932,                0.96401,                0.83108,                0.71819,                 0.3474,                 0.8062,              0.0092476,              0.0092476,              0.0092476
                     78,                0.73954,                0.43222,                0.88599,                0.98086,                0.94993,                0.96468,                0.83261,                0.71405,                0.34834,                0.80618,              0.0092377,              0.0092377,              0.0092377
                     79,                0.73999,                0.43007,                0.88615,                0.98227,                 0.9489,                0.96394,                0.83108,                0.70913,                0.34706,                0.80566,              0.0092278,              0.0092278,              0.0092278
                     80,                0.73054,                0.42219,                0.88225,                0.98367,                0.94899,                 0.9644,                0.83225,                0.70425,                0.34693,                0.80512,              0.0092179,              0.0092179,              0.0092179
                     81,                 0.7287,                0.42277,                0.88181,                 0.9818,                0.94715,                0.96426,                0.83205,                0.70488,                0.34551,                0.80541,               0.009208,               0.009208,               0.009208
                     82,                0.72684,                0.42045,                0.88135,                0.98294,                0.94763,                0.96584,                0.83422,                0.69961,                 0.3431,                0.80435,              0.0091981,              0.0091981,              0.0091981
                     83,                0.73626,                0.42708,                0.88561,                0.98161,                0.94854,                0.96592,                0.83466,                0.69544,                 0.3421,                0.80419,              0.0091882,              0.0091882,              0.0091882
                     84,                0.73285,                0.41905,                0.88333,                0.98165,                0.94827,                0.96549,                 0.8343,                0.69717,                0.34186,                0.80437,              0.0091783,              0.0091783,              0.0091783
                     85,                 0.7266,                0.42132,                0.88204,                0.98451,                0.94611,                0.96592,                0.83446,                0.69697,                0.34213,                0.80416,              0.0091684,              0.0091684,              0.0091684
                     86,                0.72704,                0.42428,                0.88109,                0.98721,                0.94291,                0.96459,                0.83574,                0.69668,                0.34283,                0.80341,              0.0091585,              0.0091585,              0.0091585
                     87,                 0.7211,                 0.4309,                0.88356,                0.99038,                0.94034,                0.96492,                0.83685,                0.69356,                0.34175,                0.80286,              0.0091486,              0.0091486,              0.0091486
                     88,                0.72777,                0.42013,                0.88196,                0.98685,                 0.9425,                0.96483,                0.83779,                0.68793,                0.33999,                0.80177,              0.0091387,              0.0091387,              0.0091387
                     89,                0.72294,                0.41871,                0.88142,                0.98278,                0.94672,                 0.9647,                0.83845,                0.68329,                0.33764,                0.80127,              0.0091288,              0.0091288,              0.0091288
                     90,                0.71909,                0.44193,                0.87833,                0.98674,                0.94543,                0.96499,                0.83935,                 0.6802,                0.33704,                0.80029,              0.0091189,              0.0091189,              0.0091189
                     91,                0.71594,                0.41633,                0.87944,                0.98722,                0.94563,                0.96478,                0.84092,                0.67844,                0.33508,                0.79964,               0.009109,               0.009109,               0.009109
